id;code;name;unit;allow_fractional_sale;description
11514;14049;CONJUNTO P/ PARAFUSAR DE BOLSO;Cento;True;CONJUNTO P/ PARAFUSAR DE BOLSO
11515;14050;KIT MANUAL P/ PARAFUSAR COM CATRACA;Cento;True;KIT MANUAL P/ PARAFUSAR COM CATRACA
11516;14051;KIT DE PARAFUSAMENTO COM 7 PEÇAS;Cento;True;KIT DE PARAFUSAMENTO COM 7 PEÇAS
11517;14052;JOGO PARA PARAFUSAR COM 19 PEÇAS BLACK DECKER;Cento;True;JOGO PARA PARAFUSAR COM 19 PEÇAS BLACK DECKER
11518;14053;CONJUNTO DE PARAFUSAR 12 PECAS;Cento;True;CONJUNTO DE PARAFUSAR 12 PECAS
11520;14055;JOGO PARAFUSAR COM CHAVE CATRACA 31;Cento;True;JOGO PARAFUSAR COM CHAVE CATRACA 31
11522;14057;KIT DE PONTAS P/ PARAFUSAMENTO 32 P;Cento;True;KIT DE PONTAS P/ PARAFUSAMENTO 32 P
11524;14059;PARAFUSADEIRA DRY WALL 220V DEWALT;Cento;True;PARAFUSADEIRA DRY WALL 220V DEWALT
11533;14069;PARAF ALLEN C/CAB UNF 1/2X1.1/4;Cento;True;PARAF ALLEN C/CAB UNF 1/2X1.1/4
11552;14103;CONJ. LASER DE PERF E PARAFUS C/ 115PCS BLACK DECK;Cento;True;CONJ. LASER DE PERF E PARAFUS C/ 115PCS BLACK DECK
11566;14131;REBITE BRANCO 3,2X16;Cento;True;REBITE BRANCO 3,2X16
11589;14161;PARAF SEXT MA RP 22X130 ZB;Cento;True;PARAF SEXT MA RP 22X130 ZB
11590;14162;PARAF AUTO BROC 12-14X2 ECOSEAL CH;Cento;True;PARAF AUTO BROC 12-14X2 ECOSEAL CH
11591;14163;PARAF AUTO BROC 12-14X4 ECOSEAL CH;Cento;True;PARAF AUTO BROC 12-14X4 ECOSEAL CH
11695;14303;"PARAF. MANIPULO ROSC. 1/4"" PLASTICO";Cento;True;"PARAF. MANIPULO ROSC. 1/4"" PLASTICO"
11703;14313;PARAF SEXT G.5 UNC RI 1X3;Cento;True;PARAF SEXT G.5 UNC RI 1X3
11704;14315;PARAF TROMB PHS 3,5X25MM;Cento;True;PARAF TROMB PHS 3,5X25MM
11705;14316;PARAF TROMB PHS 3,5X35MM;Cento;True;PARAF TROMB PHS 3,5X35MM
11706;14317;PARAF TROMB PHS 3,5X38MM;Cento;True;PARAF TROMB PHS 3,5X38MM
11707;14318;PARAF TROMB PHS 3,5X45MM;Cento;True;PARAF TROMB PHS 3,5X45MM
11708;14319;PARAF TROMB PHS 3,5X50MM;Cento;True;PARAF TROMB PHS 3,5X50MM
11709;14320;PORCA LOSANGULAR 3/8;Cento;True;PORCA LOSANGULAR 3/8
11710;14321;PARAF MET PH FL. PUXADOR SEG. 4X50 ZB;Cento;True;PARAF MET PH FL. PUXADOR SEG. 4X50 ZB
11711;14322;PARAF MET FL. SEG. PHIL. 4X45 ZB;Cento;True;PARAF MET FL. SEG. PHIL. 4X45 ZB
11712;14323;PARAF MAD TAMP PHS 4,8X65 ZB;Cento;True;PARAF MAD TAMP PHS 4,8X65 ZB
11713;14324;PARAF MAD TAMP PHS 4,8X75 ZB;Cento;True;PARAF MAD TAMP PHS 4,8X75 ZB
11714;14325;PARAF MAD TAMP PHS 5,5X60 ZB;Cento;True;PARAF MAD TAMP PHS 5,5X60 ZB
11715;14326;PARAF MAD TAMP PHS 5,5X65 ZB;Cento;True;PARAF MAD TAMP PHS 5,5X65 ZB
11716;14327;PARAF MAD TAMP PHS 5,5X75 ZB;Cento;True;PARAF MAD TAMP PHS 5,5X75 ZB
11720;14333;PARAF P/MOV ESTRUTURAL PHS 5X40 BIC;Cento;True;PARAF P/MOV ESTRUTURAL PHS 5X40 BIC
11721;14334;PARAF MAD TAMP PHS 5,5X50 ZB;Cento;True;PARAF MAD TAMP PHS 5,5X50 ZB
11722;14335;PARAF MAD TAMP PHS 4,8X60 ZB;Cento;True;PARAF MAD TAMP PHS 4,8X60 ZB
11733;14362;JOGO 16 PC PARA PARAFUSAR C GUIA DE;Cento;True;JOGO 16 PC PARA PARAFUSAR C GUIA DE
11737;14366;PARAF TROMB PHS 3,5X42MM;Cento;True;PARAF TROMB PHS 3,5X42MM
11739;14370;PARAF MAD TAMP PHS 4,8X45 ZB;Cento;True;PARAF MAD TAMP PHS 4,8X45 ZB
11740;14371;PARAF MAD TAMP PHS 4,8X50 ZB;Cento;True;PARAF MAD TAMP PHS 4,8X50 ZB
11743;14374;PARAF ALLEN C/CAB 10X40 (1.25) MB;Cento;True;PARAF ALLEN C/CAB 10X40 (1.25) MB
11745;14376;PARAF SEXT MA RI 20X75 ZB;Cento;True;PARAF SEXT MA RI 20X75 ZB
11769;14422;PARAF SEXT UNC RP 9/16X5.1/2;Cento;True;PARAF SEXT UNC RP 9/16X5.1/2
11770;14423;PARAF SEXT UNC RP 9/16X6;Cento;True;PARAF SEXT UNC RP 9/16X6
11815;14470;PARAF SEXT 8.8 MA RI 30X60;Cento;True;PARAF SEXT 8.8 MA RI 30X60
11816;14471;PARAF SEXT 8.8 MA RI 30X100;Cento;True;PARAF SEXT 8.8 MA RI 30X100
11874;14532;KIT FURAR PARAFUS C/CHAVE E CATRACA;Cento;True;KIT FURAR PARAFUS C/CHAVE E CATRACA
11875;14533;KIT FURAR PARAFUSAR 77 PECAS;Cento;True;KIT FURAR PARAFUSAR 77 PECAS
